what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1344911889362
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1344911902487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1344911902519
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1344911904175
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1344911907097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1344911960724
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1344911962412
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1344911970569
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1344911973209
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1344911973209
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1344911973350
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1344912084089
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1344912086183
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1344912105840
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.RepositoriesView",1344912108215
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1344912147342
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1344912196891
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1344912198751
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1344912212845
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1344912216626
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.StagingView",1344912216736
opened,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.CompareTreeView",1344912216783
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.CompareTreeView",1344912216798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1344912216798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1344912216798
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.StagingView",1344912218330
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.ReflogView",1344912226564
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.CompareTreeView",1344912235424
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.StagingView",1344912237143
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1344912242846
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.RepositoriesView",1344912249237
executed,command,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.team.Pull",1344912258410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1344912258722
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1344912266894
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1344912271910
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1344912284442
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.RepositoriesView",1344912290989
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.ReflogView",1344912299036
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.StagingView",1344912299490
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.CompareTreeView",1344912312521
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.ReflogView",1344912313834
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1344912322475
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1344912325881
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.StagingView",1344912326678
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1344912355336
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.StagingView",1344912358367
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.CompareTreeView",1344912360695
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.RepositoriesView",1344912362446
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.ReflogView",1344912364133
activated,view,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.StagingView",1344912365821
